isocode,country,longitude,latitude
PER,peru,-13.1632259,-72.5444285
EGY,egypt,29.9752687,31.1375674
KHM,cambodia,13.4125082,103.8613786
ITA,italy,41.8896745,12.4909196
GBR,united kingdom,51.1789464,-1.8265644
MEX,mexico,20.6825124,-88.5687889
USA,united states,40.7364995,-74.0226934
CAN,canada,49.2853698,-123.111848
HKG,hong kong,22.2930446,114.1703683
FRA,france,48.8612567,2.3348355
SGP,singapore,1.2882178,103.8591591
JPN,japan,34.6866782,135.5259759
TUR,turkey,41.005821,28.9769761